CPU,RAM (GB),HDD (GB),Velikost displeje ("),Rozliseni displeje,Cena (Kc)
Intel I7-6500U:0.64,24:0.87,500 HDD:0.12,11:0.14,3840x2160:1.00,35149
Intel I5-7500U:0.88,16:0.75,500 HDD:0.12,13.3:0.57,2560x1440:0.71,31292
Intel I3-7200U:0.76,2:0.00,128 SSD:0.50,15.6:0.85,1280x800:0.00,25286
Intel I3-7100U:0.70,6:0.37,512 SSD:1.00,15.6:0.85,3840x2160:1.00,39817
Intel I5-5500U:0.17,4:0.25,256 SSD:0.75,10:0.00,1366x768:0.14,27965
Intel I7-7500U:1.00,8:0.50,500 HDD:0.12,15.6:0.85,3840x2160:1.00,35831
Intel I3-5200U:0.05,32:1.00,256 SSD:0.75,10:0.00,1680x1050:0.42,31930
Intel I3-5100U:0.00,16:0.75,1 000 HDD:0.37,15.6:0.85,1600x900:0.28,29366
Intel I7-7200U:0.94,32:1.00,320 SSD:0.87,10:0.00,1920x1080:0.57,40807
Intel I7-5500U:0.29,3:0.12,256 SSD:0.75,13:0.42,3840x2160:1.00,34948
Intel I7-5500U:0.29,3:0.12,128 SSD:0.50,10:0.00,2560x1440:0.71,32011
Intel I7-7200U:0.94,32:1.00,240 SSD:0.62,11:0.14,1920x1080:0.57,33629
Intel I7-5500U:0.29,16:0.75,256 SSD:0.75,10:0.00,2880x1800:0.85,35467
Intel I7-6500U:0.64,8:0.50,512 SSD:1.00,17.3:1.00,1280x800:0.00,42123
Intel I7-5500U:0.29,4:0.25,320 HDD:0.00,13:0.42,3840x2160:1.00,31931
Intel I7-6500U:0.64,32:1.00,512 SSD:1.00,15.6:0.85,1280x800:0.00,40123
Intel I5-5200U:0.11,2:0.00,240 SSD:0.62,14:0.71,3840x2160:1.00,35275
Intel I5-5500U:0.17,12:0.62,512 SSD:1.00,14:0.71,1280x800:0.00,37553
Intel I5-6500U:0.52,12:0.62,320 HDD:0.00,13:0.42,3840x2160:1.00,34065
Intel I7-5500U:0.29,32:1.00,512 SSD:1.00,15.6:0.85,1600x900:0.28,45964
Intel I3-5200U:0.05,2:0.00,320 HDD:0.00,17.3:1.00,1366x768:0.14,27629
Intel I3-6100U:0.35,12:0.62,500 HDD:0.12,14:0.71,1280x800:0.00,25172
Intel I7-5200U:0.23,8:0.50,320 SSD:0.87,17.3:1.00,1280x800:0.00,34752
Intel I3-6100U:0.35,2:0.00,1 000 HDD:0.37,14:0.71,1920x1080:0.57,26956
Intel I7-6200U:0.58,2:0.00,750 HDD:0.25,17.3:1.00,1920x1080:0.57,32957
Intel I7-6200U:0.58,6:0.37,1 000 HDD:0.37,12:0.28,3840x2160:1.00,36441
Intel I7-6500U:0.64,32:1.00,1 000 HDD:0.37,15.6:0.85,2560x1440:0.71,35906
Intel I7-5200U:0.23,8:0.50,320 SSD:0.87,17.3:1.00,1680x1050:0.42,37471
Intel I7-7500U:1.00,3:0.12,512 SSD:1.00,12:0.28,3840x2160:1.00,40212
Intel I7-5500U:0.29,6:0.37,128 SSD:0.50,13:0.42,1600x900:0.28,28249
Intel I5-6200U:0.47,8:0.50,320 SSD:0.87,11:0.14,2560x1440:0.71,32455
Intel I7-7200U:0.94,12:0.62,320 SSD:0.87,12:0.28,1280x800:0.00,33448
Intel I3-7100U:0.70,2:0.00,750 HDD:0.25,12:0.28,2880x1800:0.85,26119
Intel I5-6500U:0.52,16:0.75,256 SSD:0.75,11:0.14,1600x900:0.28,30041
Intel I5-6500U:0.52,3:0.12,128 SSD:0.50,17.3:1.00,1280x800:0.00,30636
Intel I5-7500U:0.88,12:0.62,320 HDD:0.00,13:0.42,2880x1800:0.85,31425
Intel I3-5200U:0.05,3:0.12,320 SSD:0.87,13:0.42,1280x800:0.00,28575
Intel I3-6100U:0.35,4:0.25,128 SSD:0.50,11:0.14,3840x2160:1.00,32499
Intel I7-5200U:0.23,32:1.00,320 HDD:0.00,11:0.14,1366x768:0.14,30164
Intel I3-6200U:0.41,8:0.50,320 HDD:0.00,14:0.71,2880x1800:0.85,31736
Intel I5-7500U:0.88,4:0.25,500 HDD:0.12,13.3:0.57,3840x2160:1.00,32759
Intel I3-5100U:0.00,4:0.25,256 SSD:0.75,13:0.42,1600x900:0.28,26212
Intel I3-5200U:0.05,16:0.75,320 SSD:0.87,14:0.71,3840x2160:1.00,41599
Intel I3-6100U:0.35,24:0.87,512 SSD:1.00,13:0.42,1366x768:0.14,37408
Intel I5-5500U:0.17,6:0.37,256 SSD:0.75,11:0.14,1280x800:0.00,25683
Intel I7-7200U:0.94,3:0.12,128 SSD:0.50,13:0.42,3840x2160:1.00,33914
Intel I3-7200U:0.76,12:0.62,320 SSD:0.87,15.6:0.85,2560x1440:0.71,37347
Intel I3-6200U:0.41,6:0.37,240 SSD:0.62,14:0.71,3840x2160:1.00,33175
Intel I5-5200U:0.11,8:0.50,240 SSD:0.62,10:0.00,3840x2160:1.00,32755
Intel I7-5200U:0.23,6:0.37,128 SSD:0.50,15.6:0.85,1920x1080:0.57,33268
Intel I5-5500U:0.17,32:1.00,320 SSD:0.87,13.3:0.57,3840x2160:1.00,40609
Intel I7-6200U:0.58,3:0.12,512 SSD:1.00,13:0.42,1680x1050:0.42,37333
Intel I7-5500U:0.29,8:0.50,750 HDD:0.25,12:0.28,3840x2160:1.00,33343
Intel I3-6200U:0.41,2:0.00,750 HDD:0.25,17.3:1.00,1600x900:0.28,28892
Intel I7-6500U:0.64,16:0.75,1 000 HDD:0.37,12:0.28,1280x800:0.00,28620
Intel I3-5200U:0.05,2:0.00,1 000 HDD:0.37,13:0.42,1280x800:0.00,23470
Intel I5-5200U:0.11,12:0.62,512 SSD:1.00,17.3:1.00,1280x800:0.00,38228
Intel I5-6200U:0.47,32:1.00,750 HDD:0.25,10:0.00,2880x1800:0.85,36534
Intel I5-6500U:0.52,16:0.75,320 HDD:0.00,15.6:0.85,2880x1800:0.85,35795
Intel I5-5200U:0.11,32:1.00,256 SSD:0.75,10:0.00,1280x800:0.00,32616
Intel I7-7500U:1.00,12:0.62,500 HDD:0.12,11:0.14,1366x768:0.14,27554
Intel I7-6500U:0.64,12:0.62,750 HDD:0.25,12:0.28,1366x768:0.14,27393
Intel I5-6200U:0.47,8:0.50,240 SSD:0.62,10:0.00,1680x1050:0.42,29232
Intel I3-5200U:0.05,8:0.50,512 SSD:1.00,10:0.00,2880x1800:0.85,39411
Intel I5-5200U:0.11,8:0.50,500 HDD:0.12,17.3:1.00,2560x1440:0.71,35255
Intel I7-6200U:0.58,12:0.62,512 SSD:1.00,14:0.71,2560x1440:0.71,44087
Intel I3-6100U:0.35,32:1.00,128 SSD:0.50,14:0.71,1680x1050:0.42,30229
Intel I5-5500U:0.17,24:0.87,1 000 HDD:0.37,14:0.71,1280x800:0.00,29562
Intel I7-7500U:1.00,32:1.00,1 000 HDD:0.37,13.3:0.57,1920x1080:0.57,37842
Intel I5-6200U:0.47,32:1.00,500 HDD:0.12,14:0.71,1366x768:0.14,32576
Intel I5-5500U:0.17,24:0.87,500 HDD:0.12,13:0.42,2880x1800:0.85,30972
Intel I5-6500U:0.52,12:0.62,240 SSD:0.62,13.3:0.57,2880x1800:0.85,35618
Intel I7-5500U:0.29,8:0.50,750 HDD:0.25,14:0.71,1680x1050:0.42,31087
Intel I3-6100U:0.35,16:0.75,240 SSD:0.62,10:0.00,1366x768:0.14,26732
Intel I7-6500U:0.64,24:0.87,750 HDD:0.25,15.6:0.85,1920x1080:0.57,39071
Intel I5-6200U:0.47,2:0.00,240 SSD:0.62,15.6:0.85,2560x1440:0.71,32741
Intel I5-7500U:0.88,24:0.87,256 SSD:0.75,15.6:0.85,2560x1440:0.71,41516
Intel I5-7200U:0.82,16:0.75,500 HDD:0.12,15.6:0.85,1366x768:0.14,31433
Intel I7-5200U:0.23,24:0.87,240 SSD:0.62,13:0.42,1280x800:0.00,29222
Intel I3-5200U:0.05,16:0.75,750 HDD:0.25,15.6:0.85,3840x2160:1.00,36776
Intel I3-5200U:0.05,8:0.50,512 SSD:1.00,11:0.14,2560x1440:0.71,37232
Intel I3-6200U:0.41,16:0.75,240 SSD:0.62,13:0.42,1920x1080:0.57,31428
Intel I5-6200U:0.47,6:0.37,1 000 HDD:0.37,17.3:1.00,1280x800:0.00,31515
Intel I5-7500U:0.88,8:0.50,750 HDD:0.25,13.3:0.57,1600x900:0.28,27447
Intel I7-5500U:0.29,16:0.75,1 000 HDD:0.37,15.6:0.85,1920x1080:0.57,36545
Intel I7-5500U:0.29,2:0.00,1 000 HDD:0.37,12:0.28,1280x800:0.00,25526
Intel I5-6200U:0.47,2:0.00,1 000 HDD:0.37,13:0.42,1280x800:0.00,23254
Intel I5-7500U:0.88,3:0.12,1 000 HDD:0.37,13:0.42,2880x1800:0.85,32904
Intel I5-5200U:0.11,8:0.50,512 SSD:1.00,11:0.14,2880x1800:0.85,37008
Intel I5-6500U:0.52,32:1.00,320 SSD:0.87,17.3:1.00,1366x768:0.14,38322
Intel I3-5200U:0.05,32:1.00,128 SSD:0.50,13:0.42,2880x1800:0.85,31494
Intel I3-5200U:0.05,32:1.00,256 SSD:0.75,15.6:0.85,1280x800:0.00,34457
Intel I7-5200U:0.23,16:0.75,750 HDD:0.25,13.3:0.57,1366x768:0.14,27439
Intel I3-5100U:0.00,24:0.87,1 000 HDD:0.37,13.3:0.57,2560x1440:0.71,32359
Intel I3-6200U:0.41,3:0.12,128 SSD:0.50,13.3:0.57,1680x1050:0.42,26554
Intel I3-6200U:0.41,12:0.62,240 SSD:0.62,11:0.14,1920x1080:0.57,29582
Intel I7-7500U:1.00,2:0.00,1 000 HDD:0.37,13:0.42,1280x800:0.00,28142
Intel I7-5500U:0.29,12:0.62,320 SSD:0.87,12:0.28,1280x800:0.00,33636
Intel I7-6500U:0.64,32:1.00,320 SSD:0.87,17.3:1.00,1280x800:0.00,42749
Intel I7-6200U:0.58,6:0.37,500 HDD:0.12,14:0.71,1600x900:0.28,28902
Intel I3-5100U:0.00,6:0.37,320 SSD:0.87,17.3:1.00,1680x1050:0.42,33002
Intel I3-5100U:0.00,3:0.12,320 SSD:0.87,17.3:1.00,1600x900:0.28,33762
Intel I5-7200U:0.82,3:0.12,128 SSD:0.50,13:0.42,3840x2160:1.00,34961
Intel I5-5500U:0.17,16:0.75,750 HDD:0.25,13.3:0.57,2560x1440:0.71,30325
Intel I3-5200U:0.05,3:0.12,512 SSD:1.00,17.3:1.00,3840x2160:1.00,45198
Intel I5-5500U:0.17,4:0.25,256 SSD:0.75,17.3:1.00,2880x1800:0.85,35056
Intel I7-5200U:0.23,16:0.75,750 HDD:0.25,12:0.28,1600x900:0.28,30217
Intel I7-6200U:0.58,8:0.50,256 SSD:0.75,12:0.28,3840x2160:1.00,34821
Intel I5-6200U:0.47,32:1.00,240 SSD:0.62,12:0.28,1280x800:0.00,31207
Intel I5-7500U:0.88,3:0.12,256 SSD:0.75,15.6:0.85,3840x2160:1.00,39360
Intel I3-5100U:0.00,2:0.00,750 HDD:0.25,17.3:1.00,1600x900:0.28,28117
Intel I7-7200U:0.94,4:0.25,128 SSD:0.50,10:0.00,1920x1080:0.57,28029
Intel I3-7100U:0.70,6:0.37,240 SSD:0.62,11:0.14,1600x900:0.28,25060
Intel I7-7500U:1.00,6:0.37,512 SSD:1.00,13.3:0.57,1920x1080:0.57,38995
Intel I7-6200U:0.58,2:0.00,256 SSD:0.75,12:0.28,1280x800:0.00,28633
Intel I5-7500U:0.88,12:0.62,128 SSD:0.50,10:0.00,1600x900:0.28,26844
Intel I3-7100U:0.70,32:1.00,128 SSD:0.50,15.6:0.85,1680x1050:0.42,34902
Intel I3-6200U:0.41,32:1.00,320 HDD:0.00,17.3:1.00,3840x2160:1.00,40164
Intel I3-5200U:0.05,8:0.50,320 HDD:0.00,17.3:1.00,1600x900:0.28,28646
Intel I5-5500U:0.17,32:1.00,1 000 HDD:0.37,13.3:0.57,1600x900:0.28,29546
Intel I5-7200U:0.82,2:0.00,1 000 HDD:0.37,12:0.28,1280x800:0.00,22922
Intel I3-5200U:0.05,2:0.00,1 000 HDD:0.37,11:0.14,1366x768:0.14,21903
Intel I7-6200U:0.58,4:0.25,256 SSD:0.75,12:0.28,2560x1440:0.71,30906
Intel I5-7500U:0.88,4:0.25,256 SSD:0.75,11:0.14,2560x1440:0.71,30512
Intel I7-7200U:0.94,8:0.50,128 SSD:0.50,14:0.71,3840x2160:1.00,35045
Intel I7-7500U:1.00,16:0.75,320 SSD:0.87,17.3:1.00,1680x1050:0.42,41889
Intel I5-7500U:0.88,6:0.37,500 HDD:0.12,11:0.14,1600x900:0.28,27696
Intel I3-6200U:0.41,16:0.75,320 SSD:0.87,12:0.28,2880x1800:0.85,36061
Intel I3-6100U:0.35,8:0.50,750 HDD:0.25,13.3:0.57,2560x1440:0.71,29093
Intel I7-7500U:1.00,24:0.87,128 SSD:0.50,13:0.42,2560x1440:0.71,36227
Intel I5-6500U:0.52,8:0.50,128 SSD:0.50,17.3:1.00,2560x1440:0.71,33182
Intel I3-6200U:0.41,3:0.12,512 SSD:1.00,15.6:0.85,2560x1440:0.71,38345
Intel I5-5200U:0.11,32:1.00,500 HDD:0.12,10:0.00,2880x1800:0.85,32567
Intel I3-5100U:0.00,12:0.62,750 HDD:0.25,12:0.28,3840x2160:1.00,31418
Intel I7-6500U:0.64,16:0.75,512 SSD:1.00,10:0.00,1366x768:0.14,36607
Intel I7-5500U:0.29,16:0.75,512 SSD:1.00,10:0.00,1366x768:0.14,40221
Intel I7-5200U:0.23,32:1.00,256 SSD:0.75,10:0.00,2560x1440:0.71,37909
Intel I5-7500U:0.88,32:1.00,1 000 HDD:0.37,11:0.14,2880x1800:0.85,33706
Intel I5-7200U:0.82,8:0.50,512 SSD:1.00,17.3:1.00,2880x1800:0.85,46928
Intel I3-6100U:0.35,24:0.87,240 SSD:0.62,11:0.14,1600x900:0.28,28387
Intel I5-6500U:0.52,3:0.12,320 SSD:0.87,13:0.42,2560x1440:0.71,35167
Intel I5-5200U:0.11,2:0.00,320 SSD:0.87,11:0.14,2880x1800:0.85,33703
Intel I7-6200U:0.58,32:1.00,320 SSD:0.87,13:0.42,1600x900:0.28,37936
Intel I7-5200U:0.23,3:0.12,320 HDD:0.00,10:0.00,1280x800:0.00,22949
Intel I7-6500U:0.64,8:0.50,1 000 HDD:0.37,14:0.71,2880x1800:0.85,37048
Intel I7-7200U:0.94,16:0.75,320 SSD:0.87,14:0.71,2560x1440:0.71,36510
Intel I5-5200U:0.11,8:0.50,128 SSD:0.50,12:0.28,3840x2160:1.00,33745
Intel I3-5100U:0.00,32:1.00,240 SSD:0.62,17.3:1.00,1600x900:0.28,36318
Intel I5-5500U:0.17,12:0.62,320 HDD:0.00,13.3:0.57,3840x2160:1.00,31853
Intel I7-5500U:0.29,2:0.00,320 HDD:0.00,13.3:0.57,3840x2160:1.00,32856
Intel I7-5500U:0.29,4:0.25,750 HDD:0.25,17.3:1.00,2560x1440:0.71,32826
Intel I7-5500U:0.29,16:0.75,512 SSD:1.00,11:0.14,1920x1080:0.57,38332
Intel I5-7200U:0.82,12:0.62,240 SSD:0.62,14:0.71,1366x768:0.14,31555
Intel I7-6200U:0.58,12:0.62,1 000 HDD:0.37,10:0.00,2560x1440:0.71,29483
Intel I3-6100U:0.35,3:0.12,500 HDD:0.12,10:0.00,1280x800:0.00,20819
Intel I7-6500U:0.64,6:0.37,256 SSD:0.75,13:0.42,1600x900:0.28,29165
Intel I5-6200U:0.47,32:1.00,512 SSD:1.00,15.6:0.85,2560x1440:0.71,41492
Intel I7-6200U:0.58,6:0.37,320 SSD:0.87,13.3:0.57,1280x800:0.00,29105
Intel I3-7200U:0.76,4:0.25,128 SSD:0.50,13.3:0.57,2880x1800:0.85,28156
Intel I3-6100U:0.35,24:0.87,512 SSD:1.00,12:0.28,1366x768:0.14,32789
Intel I5-5200U:0.11,6:0.37,320 SSD:0.87,12:0.28,1366x768:0.14,31325
Intel I5-6200U:0.47,4:0.25,320 HDD:0.00,13.3:0.57,2560x1440:0.71,26660
Intel I3-5100U:0.00,16:0.75,512 SSD:1.00,12:0.28,1280x800:0.00,33434
Intel I7-7200U:0.94,16:0.75,240 SSD:0.62,15.6:0.85,1366x768:0.14,33905
Intel I5-6200U:0.47,16:0.75,1 000 HDD:0.37,11:0.14,2560x1440:0.71,30577
Intel I5-5500U:0.17,12:0.62,240 SSD:0.62,13:0.42,1600x900:0.28,29227
Intel I5-5200U:0.11,4:0.25,512 SSD:1.00,11:0.14,2560x1440:0.71,34955
Intel I3-6200U:0.41,16:0.75,320 HDD:0.00,11:0.14,2880x1800:0.85,29259
Intel I3-5200U:0.05,3:0.12,512 SSD:1.00,13:0.42,1920x1080:0.57,31907
Intel I3-5100U:0.00,24:0.87,500 HDD:0.12,12:0.28,1280x800:0.00,24330
Intel I7-5200U:0.23,24:0.87,320 SSD:0.87,11:0.14,1920x1080:0.57,36700
Intel I5-7200U:0.82,2:0.00,500 HDD:0.12,17.3:1.00,2880x1800:0.85,36029
Intel I7-7500U:1.00,3:0.12,240 SSD:0.62,12:0.28,3840x2160:1.00,37786
Intel I5-5200U:0.11,12:0.62,320 HDD:0.00,15.6:0.85,2560x1440:0.71,32692
Intel I7-5200U:0.23,32:1.00,240 SSD:0.62,13.3:0.57,1600x900:0.28,32427
Intel I3-5100U:0.00,6:0.37,240 SSD:0.62,10:0.00,2560x1440:0.71,29154
Intel I7-5200U:0.23,16:0.75,750 HDD:0.25,11:0.14,2560x1440:0.71,30144
Intel I7-5200U:0.23,32:1.00,750 HDD:0.25,17.3:1.00,1600x900:0.28,33346
Intel I5-6200U:0.47,12:0.62,128 SSD:0.50,13:0.42,1680x1050:0.42,26732
Intel I5-7500U:0.88,24:0.87,500 HDD:0.12,14:0.71,1680x1050:0.42,33837
Intel I5-6500U:0.52,4:0.25,750 HDD:0.25,15.6:0.85,2880x1800:0.85,35170
Intel I3-6200U:0.41,6:0.37,256 SSD:0.75,15.6:0.85,1280x800:0.00,31244
Intel I3-7200U:0.76,2:0.00,1 000 HDD:0.37,15.6:0.85,2880x1800:0.85,34269
Intel I3-7100U:0.70,24:0.87,1 000 HDD:0.37,13.3:0.57,1280x800:0.00,26531
Intel I5-6500U:0.52,2:0.00,750 HDD:0.25,17.3:1.00,1600x900:0.28,30065
Intel I7-7200U:0.94,24:0.87,256 SSD:0.75,12:0.28,2560x1440:0.71,38665
Intel I7-6200U:0.58,32:1.00,1 000 HDD:0.37,13:0.42,2880x1800:0.85,38323
Intel I5-7200U:0.82,2:0.00,320 HDD:0.00,13.3:0.57,1680x1050:0.42,25676
Intel I5-7500U:0.88,24:0.87,256 SSD:0.75,17.3:1.00,1680x1050:0.42,39637
Intel I7-5500U:0.29,8:0.50,320 HDD:0.00,13:0.42,1920x1080:0.57,30419
Intel I3-7100U:0.70,4:0.25,240 SSD:0.62,13:0.42,2560x1440:0.71,27635
Intel I3-5100U:0.00,4:0.25,256 SSD:0.75,14:0.71,1920x1080:0.57,28645
Intel I3-5200U:0.05,6:0.37,240 SSD:0.62,13.3:0.57,1366x768:0.14,28077
Intel I5-6500U:0.52,24:0.87,256 SSD:0.75,13:0.42,1680x1050:0.42,31617
Intel I7-7200U:0.94,3:0.12,256 SSD:0.75,13:0.42,1920x1080:0.57,31301
Intel I3-7200U:0.76,32:1.00,750 HDD:0.25,13:0.42,1680x1050:0.42,28512
Intel I3-6200U:0.41,4:0.25,1 000 HDD:0.37,13.3:0.57,1280x800:0.00,25755
Intel I7-7200U:0.94,16:0.75,1 000 HDD:0.37,11:0.14,2880x1800:0.85,35209
Intel I7-7500U:1.00,32:1.00,320 HDD:0.00,11:0.14,3840x2160:1.00,40543
Intel I5-7500U:0.88,4:0.25,128 SSD:0.50,14:0.71,1600x900:0.28,30185
Intel I7-6200U:0.58,4:0.25,512 SSD:1.00,11:0.14,2560x1440:0.71,37135
Intel I3-7200U:0.76,32:1.00,240 SSD:0.62,12:0.28,2560x1440:0.71,34358
Intel I3-7200U:0.76,24:0.87,240 SSD:0.62,11:0.14,1600x900:0.28,28270
Intel I3-5100U:0.00,6:0.37,320 HDD:0.00,13.3:0.57,2560x1440:0.71,25231
Intel I3-7200U:0.76,8:0.50,240 SSD:0.62,13:0.42,3840x2160:1.00,34061
Intel I7-7500U:1.00,16:0.75,750 HDD:0.25,13:0.42,1600x900:0.28,31964
Intel I5-6200U:0.47,2:0.00,500 HDD:0.12,13.3:0.57,1366x768:0.14,26123
Intel I3-5200U:0.05,32:1.00,256 SSD:0.75,13.3:0.57,2880x1800:0.85,35906
Intel I5-6200U:0.47,24:0.87,256 SSD:0.75,17.3:1.00,1680x1050:0.42,36704
Intel I5-5200U:0.11,32:1.00,512 SSD:1.00,13.3:0.57,1366x768:0.14,37441
Intel I7-7200U:0.94,8:0.50,320 HDD:0.00,17.3:1.00,1680x1050:0.42,31997
Intel I5-5200U:0.11,16:0.75,256 SSD:0.75,15.6:0.85,1366x768:0.14,34159
Intel I7-6500U:0.64,32:1.00,320 HDD:0.00,11:0.14,2560x1440:0.71,36096
Intel I5-6500U:0.52,4:0.25,750 HDD:0.25,14:0.71,2560x1440:0.71,30001
Intel I5-6500U:0.52,2:0.00,240 SSD:0.62,10:0.00,3840x2160:1.00,34677
Intel I7-6200U:0.58,3:0.12,240 SSD:0.62,14:0.71,1600x900:0.28,31467
Intel I7-5500U:0.29,6:0.37,750 HDD:0.25,11:0.14,3840x2160:1.00,33011
Intel I7-5200U:0.23,24:0.87,512 SSD:1.00,13.3:0.57,1920x1080:0.57,42845
Intel I5-6200U:0.47,12:0.62,1 000 HDD:0.37,10:0.00,1680x1050:0.42,25804
Intel I3-6100U:0.35,32:1.00,500 HDD:0.12,17.3:1.00,1280x800:0.00,33234
Intel I7-5200U:0.23,6:0.37,320 SSD:0.87,15.6:0.85,1280x800:0.00,31774
Intel I3-6100U:0.35,32:1.00,750 HDD:0.25,10:0.00,1920x1080:0.57,31558
Intel I3-6200U:0.41,8:0.50,750 HDD:0.25,13:0.42,1280x800:0.00,23465
Intel I3-6100U:0.35,16:0.75,500 HDD:0.12,17.3:1.00,3840x2160:1.00,35070
Intel I3-5200U:0.05,6:0.37,512 SSD:1.00,15.6:0.85,1600x900:0.28,34184
Intel I5-6200U:0.47,4:0.25,240 SSD:0.62,12:0.28,1680x1050:0.42,27329
Intel I7-5200U:0.23,12:0.62,256 SSD:0.75,17.3:1.00,3840x2160:1.00,44814
Intel I7-7500U:1.00,32:1.00,750 HDD:0.25,17.3:1.00,3840x2160:1.00,42313
Intel I7-5500U:0.29,32:1.00,1 000 HDD:0.37,11:0.14,2560x1440:0.71,33746
Intel I7-5200U:0.23,32:1.00,320 HDD:0.00,17.3:1.00,1366x768:0.14,37132
Intel I5-5500U:0.17,32:1.00,256 SSD:0.75,12:0.28,1600x900:0.28,30940
Intel I3-6100U:0.35,16:0.75,750 HDD:0.25,12:0.28,1366x768:0.14,26918
Intel I3-5200U:0.05,24:0.87,1 000 HDD:0.37,13.3:0.57,2560x1440:0.71,33644
Intel I3-6200U:0.41,32:1.00,1 000 HDD:0.37,12:0.28,1680x1050:0.42,27965
Intel I3-6200U:0.41,24:0.87,320 HDD:0.00,10:0.00,1680x1050:0.42,28447
Intel I3-7100U:0.70,3:0.12,240 SSD:0.62,13.3:0.57,1920x1080:0.57,27969
Intel I7-5200U:0.23,16:0.75,128 SSD:0.50,13:0.42,1680x1050:0.42,28512
Intel I3-6200U:0.41,3:0.12,320 HDD:0.00,13.3:0.57,1920x1080:0.57,24954
Intel I3-7200U:0.76,32:1.00,1 000 HDD:0.37,17.3:1.00,1600x900:0.28,34923
Intel I5-7500U:0.88,16:0.75,1 000 HDD:0.37,15.6:0.85,1600x900:0.28,31290
Intel I7-6500U:0.64,16:0.75,320 HDD:0.00,13:0.42,1600x900:0.28,30866
Intel I3-6100U:0.35,16:0.75,128 SSD:0.50,15.6:0.85,2560x1440:0.71,31906
Intel I3-7100U:0.70,2:0.00,128 SSD:0.50,13.3:0.57,3840x2160:1.00,31706
Intel I5-7500U:0.88,3:0.12,1 000 HDD:0.37,14:0.71,1600x900:0.28,29357
Intel I7-5500U:0.29,4:0.25,320 SSD:0.87,13.3:0.57,1600x900:0.28,30769
Intel I7-7200U:0.94,2:0.00,320 SSD:0.87,15.6:0.85,1600x900:0.28,33574
Intel I7-5500U:0.29,4:0.25,320 SSD:0.87,14:0.71,2560x1440:0.71,34128
Intel I5-5500U:0.17,12:0.62,512 SSD:1.00,14:0.71,1680x1050:0.42,37763
Intel I5-6500U:0.52,3:0.12,320 SSD:0.87,15.6:0.85,1920x1080:0.57,34130
Intel I7-5200U:0.23,12:0.62,512 SSD:1.00,13.3:0.57,1680x1050:0.42,35433
Intel I3-7100U:0.70,2:0.00,750 HDD:0.25,15.6:0.85,1366x768:0.14,25184
Intel I5-6500U:0.52,2:0.00,500 HDD:0.12,15.6:0.85,1280x800:0.00,26042
Intel I3-6100U:0.35,32:1.00,256 SSD:0.75,15.6:0.85,1600x900:0.28,33884
Intel I3-5200U:0.05,12:0.62,320 HDD:0.00,12:0.28,1600x900:0.28,26568
Intel I3-7100U:0.70,2:0.00,1 000 HDD:0.37,11:0.14,1680x1050:0.42,25002
Intel I7-5200U:0.23,4:0.25,1 000 HDD:0.37,15.6:0.85,1280x800:0.00,30661
Intel I7-5200U:0.23,2:0.00,240 SSD:0.62,14:0.71,3840x2160:1.00,38517
Intel I3-7200U:0.76,4:0.25,1 000 HDD:0.37,13.3:0.57,2560x1440:0.71,27324
Intel I3-5100U:0.00,12:0.62,512 SSD:1.00,17.3:1.00,1680x1050:0.42,38923
Intel I7-7500U:1.00,8:0.50,1 000 HDD:0.37,17.3:1.00,1280x800:0.00,35282
Intel I5-7500U:0.88,16:0.75,128 SSD:0.50,17.3:1.00,2880x1800:0.85,38144
Intel I7-5200U:0.23,12:0.62,128 SSD:0.50,10:0.00,1600x900:0.28,29874
Intel I7-6200U:0.58,4:0.25,1 000 HDD:0.37,12:0.28,1280x800:0.00,24300
Intel I7-7500U:1.00,4:0.25,750 HDD:0.25,13:0.42,1366x768:0.14,27355
Intel I7-6200U:0.58,3:0.12,320 SSD:0.87,13:0.42,1280x800:0.00,29555
Intel I7-7500U:1.00,16:0.75,256 SSD:0.75,10:0.00,1280x800:0.00,31902
Intel I3-6100U:0.35,24:0.87,500 HDD:0.12,10:0.00,2880x1800:0.85,31952
Intel I3-5100U:0.00,24:0.87,320 HDD:0.00,17.3:1.00,1680x1050:0.42,31822
Intel I5-7500U:0.88,16:0.75,128 SSD:0.50,10:0.00,1920x1080:0.57,32885
Intel I5-5200U:0.11,8:0.50,240 SSD:0.62,17.3:1.00,1680x1050:0.42,35196
Intel I5-7200U:0.82,12:0.62,750 HDD:0.25,14:0.71,1280x800:0.00,28349
Intel I5-7200U:0.82,3:0.12,256 SSD:0.75,13.3:0.57,2560x1440:0.71,30028
Intel I3-7200U:0.76,32:1.00,512 SSD:1.00,15.6:0.85,1280x800:0.00,36786
Intel I5-7500U:0.88,8:0.50,128 SSD:0.50,17.3:1.00,1280x800:0.00,32077
Intel I7-5200U:0.23,8:0.50,750 HDD:0.25,15.6:0.85,1920x1080:0.57,30470
Intel I3-7100U:0.70,16:0.75,128 SSD:0.50,17.3:1.00,1920x1080:0.57,35493
Intel I7-6500U:0.64,6:0.37,500 HDD:0.12,12:0.28,2880x1800:0.85,30507
Intel I7-7500U:1.00,8:0.50,512 SSD:1.00,11:0.14,1280x800:0.00,36142
Intel I7-5200U:0.23,4:0.25,500 HDD:0.12,10:0.00,1366x768:0.14,26594
Intel I7-5200U:0.23,4:0.25,512 SSD:1.00,10:0.00,2560x1440:0.71,35791
